AREA,EIC,EICSUM,EICSOU,EICMAT,EICSUB,POLLUTANT,SEASON,CONTROL_TYPE,2010
SANTA CLARA , 010-005-0110-0000,010-ELECTRIC UTILITIES,005-BOILERS,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0003
SANTA CLARA , 010-040-0110-0000,010-ELECTRIC UTILITIES,040-I.C. RECIPROCATING ENGINES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0001
SANTA CLARA , 010-040-0142-0000,010-ELECTRIC UTILITIES,040-I.C. RECIPROCATING ENGINES,0142-LANDFILL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.011
SANTA CLARA , 010-040-1200-0000,010-ELECTRIC UTILITIES,040-I.C. RECIPROCATING ENGINES,1200-DIESEL/DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.005
SANTA CLARA , 010-045-0110-0000,010-ELECTRIC UTILITIES,045-I.C. TURBINE ENGINES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.06
SANTA CLARA , 010-045-0142-0000,010-ELECTRIC UTILITIES,045-I.C. TURBINE ENGINES,0142-LANDFILL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0007
SANTA CLARA , 010-070-0240-0000,010-ELECTRIC UTILITIES,070-IN-PROCESS FUEL,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.002
SANTA CLARA , 020-040-0110-0000,020-COGENERATION,040-I.C. RECIPROCATING ENGINES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0028
SANTA CLARA , 020-045-0110-0000,020-COGENERATION,045-I.C. TURBINE ENGINES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.115
SANTA CLARA , 020-045-1200-0000,020-COGENERATION,045-I.C. TURBINE ENGINES,1200-DIESEL/DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0007
SANTA CLARA , 020-995-0012-0000,020-COGENERATION,995-OTHER,0012-FUEL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0377
SANTA CLARA , 030-010-1600-0000,030-OIL AND GAS PRODUCTION (COMBUSTION),010-PROCESS HEATERS,1600-CRUDE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 030-040-1600-0000,030-OIL AND GAS PRODUCTION (COMBUSTION),040-I.C. RECIPROCATING ENGINES,1600-CRUDE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 030-070-0110-0000,030-OIL AND GAS PRODUCTION (COMBUSTION),070-IN-PROCESS FUEL,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 030-070-0130-0000,030-OIL AND GAS PRODUCTION (COMBUSTION),070-IN-PROCESS FUEL,0130-PROCESS GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-005-0110-0000,050-MANUFACTURING AND INDUSTRIAL,005-BOILERS,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0025
SANTA CLARA , 050-010-0110-0000,050-MANUFACTURING AND INDUSTRIAL,010-PROCESS HEATERS,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
