AREA,EIC,EICSUM,EICSOU,EICMAT,EICSUB,POLLUTANT,SEASON,CONTROL_TYPE,2010
CALAVERAS, 050-040-1200-0000,"050-MANUFACTURING AND INDUSTRIAL","040-I.C. RECIPROCATING ENGINES","1200-DIESEL/DISTILLATE OIL (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0053
CALAVERAS, 050-995-0110-0000,"050-MANUFACTURING AND INDUSTRIAL","995-OTHER","0110-NATURAL GAS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0003
CALAVERAS, 050-995-1220-0000,"050-MANUFACTURING AND INDUSTRIAL","995-OTHER","1220-DISTILLATE OIL (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 052-042-1200-0010,"052-FOOD AND AGRICULTURAL PROCESSING","042-AG. IRRIGATION I.C. ENGINES","1200-DIESEL/DISTILLATE OIL (UNSPECIFIED)","0010-STATIONARY",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0002
CALAVERAS, 052-042-1200-0011,"052-FOOD AND AGRICULTURAL PROCESSING","042-AG. IRRIGATION I.C. ENGINES","1200-DIESEL/DISTILLATE OIL (UNSPECIFIED)","0011-PORTABLE",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0001
CALAVERAS, 060-995-0110-0000,"060-SERVICE AND COMMERCIAL","995-OTHER","0110-NATURAL GAS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0003
CALAVERAS, 099-040-1200-0000,"099-OTHER (FUEL COMBUSTION)","040-I.C. RECIPROCATING ENGINES","1200-DIESEL/DISTILLATE OIL (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 110-110-0300-0000,"110-SEWAGE TREATMENT","110-SEWAGE TREATMENT PLANTS","0300-LIQUID WASTE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 120-122-0242-0000,"120-LANDFILLS","122-CLASS II AND III LANDFILLS","0242-MUNICIPAL SOLID WASTE (MSW)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-204-0500-0000,"220-DEGREASING","204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN)","0500-PETROLEUM NAPHTHA","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-204-3022-0000,"220-DEGREASING","204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN)","3022-ALCOHOLS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-204-3204-0000,"220-DEGREASING","204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN)","3204-KETONES (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-204-8106-0000,"220-DEGREASING","204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN)","8106-DEGREASING SOLVENTS - BLENDS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-206-3344-0000,"220-DEGREASING","206-VAPOR DEGREASING (BATCH - CONVEYOR)","3344-1_1_1_-TRICHLOROETHANE (TCA)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
